event_id,event_type,timestamp,checkout_id,customer_id,amount_at_risk,currency,cart_value,items_count,checkout_started_at,last_activity_at,abandonment_age_minutes,payment_attempted,payment_completed,checkout_completed,abandonment_detected,customer_history_score
CHK_00024,checkout_abandonment,2020-04-16 04:35:52,CHK_SESSION_000024,CUST_422,1753.79,INR,1753.79,2,2020-04-15 13:04:52,2020-04-15 13:07:52,928,False,False,False,True,0.702
CHK_00025,checkout_abandonment,2019-03-05 08:11:57,CHK_SESSION_000025,CUST_68,2926.58,INR,2926.58,3,2019-03-04 16:02:57,2019-03-04 16:06:57,965,False,False,False,True,1.0
CHK_00026,checkout_abandonment,2020-02-06 12:56:18,CHK_SESSION_000026,CUST_773,36919.23,INR,36919.23,10,2020-02-05 20:09:18,2020-02-05 20:14:18,1002,False,False,False,True,0.79
CHK_00027,checkout_abandonment,2019-09-22 11:14:12,CHK_SESSION_000027,CUST_562,5741.94,INR,5741.94,6,2019-09-21 17:49:12,2019-09-21 17:55:12,1039,False,False,False,True,0.491
CHK_00028,checkout_abandonment,2019-05-17 05:58:56,CHK_SESSION_000028,CUST_868,11621.66,INR,11621.66,10,2019-05-16 11:55:56,2019-05-16 12:02:56,1076,False,False,False,True,0.492
CHK_00029,checkout_abandonment,2020-04-08 02:40:15,CHK_SESSION_000029,CUST_194,5881.38,INR,5881.38,6,2020-04-07 07:59:15,2020-04-07 08:07:15,1113,False,False,False,True,0.884
CHK_00030,checkout_abandonment,2019-12-24 18:00:56,CHK_SESSION_000030,CUST_864,165.17,INR,165.17,1,2019-12-23 22:41:56,2019-12-23 22:50:56,1150,False,False,False,True,0.597
CHK_00031,checkout_abandonment,2019-10-27 14:39:01,CHK_SESSION_000031,CUST_174,13377.94,INR,13377.94,10,2019-10-26 18:52:01,2019-10-26 18:52:01,1187,False,False,False,True,0.798
CHK_00032,checkout_abandonment,2019-07-09 15:43:27,CHK_SESSION_000032,CUST_457,6440.8,INR,6440.8,6,2019-07-08 19:18:27,2019-07-08 19:19:27,1224,False,False,False,True,0.696
CHK_00033,checkout_abandonment,2019-07-05 03:00:52,CHK_SESSION_000033,CUST_183,7148.79,INR,7148.79,7,2019-07-04 05:57:52,2019-07-04 05:59:52,1261,False,False,False,True,0.794
CHK_00034,checkout_abandonment,2020-01-05 04:12:38,CHK_SESSION_000034,CUST_871,816.72,INR,816.72,1,2020-01-04 06:31:38,2020-01-04 06:34:38,1298,False,False,False,True,0.498
CHK_00035,checkout_abandonment,2019-12-03 00:36:50,CHK_SESSION_000035,CUST_828,4583.26,INR,4583.26,5,2019-12-02 02:17:50,2019-12-02 02:21:50,1335,False,False,False,True,0.793
CHK_00036,checkout_abandonment,2019-05-02 21:36:25,CHK_SESSION_000036,CUST_287,6363.61,INR,6363.61,6,2019-05-01 22:39:25,2019-05-01 22:44:25,1372,False,False,False,True,0.9
CHK_00037,checkout_abandonment,2020-06-05 05:04:11,CHK_SESSION_000037,CUST_714,263.94,INR,263.94,1,2020-06-04 05:29:11,2020-06-04 05:35:11,1409,False,False,False,True,0.495
CHK_00038,checkout_abandonment,2019-09-26 08:36:14,CHK_SESSION_000038,CUST_873,4258.73,INR,4258.73,4,2019-09-26 07:54:14,2019-09-26 08:01:14,35,False,False,False,True,0.593
CHK_00039,checkout_abandonment,2020-03-23 09:00:51,CHK_SESSION_000039,CUST_545,8463.51,INR,8463.51,8,2020-03-23 07:40:51,2020-03-23 07:48:51,72,False,False,False,True,0.488
CHK_00040,checkout_abandonment,2019-11-05 10:01:44,CHK_SESSION_000040,CUST_736,5209.91,INR,5209.91,5,2019-11-05 08:03:44,2019-11-05 08:12:44,109,False,False,False,True,0.793
CHK_00041,checkout_abandonment,2019-12-02 05:25:37,CHK_SESSION_000041,CUST_158,229.91,INR,229.91,1,2019-12-02 02:59:37,2019-12-02 02:59:37,146,False,False,False,True,0.789
CHK_00042,checkout_abandonment,2019-12-29 19:16:04,CHK_SESSION_000042,CUST_643,4809.02,INR,4809.02,5,2019-12-29 16:12:04,2019-12-29 16:13:04,183,False,False,False,True,0.595
CHK_00043,checkout_abandonment,2020-02-02 01:35:48,CHK_SESSION_000043,CUST_351,475.59,INR,475.59,1,2020-02-01 21:53:48,2020-02-01 21:55:48,220,False,False,False,True,0.59
CHK_00044,checkout_abandonment,2019-05-12 01:51:34,CHK_SESSION_000044,CUST_16,2712.44,INR,2712.44,3,2019-05-11 21:31:34,2019-05-11 21:34:34,257,False,False,False,True,0.8
CHK_00045,checkout_abandonment,2019-07-22 06:09:46,CHK_SESSION_000045,CUST_354,3759.07,INR,3759.07,4,2019-07-22 01:11:46,2019-07-22 01:15:46,294,False,False,False,True,0.883
CHK_00046,checkout_abandonment,2019-08-24 16:11:40,CHK_SESSION_000046,CUST_110,4673.73,INR,4673.73,5,2019-08-24 10:35:40,2019-08-24 10:40:40,331,False,False,False,True,0.796
CHK_00047,checkout_abandonment,2019-07-21 07:32:15,CHK_SESSION_000047,CUST_447,219.95,INR,219.95,1,2019-07-21 01:18:15,2019-07-21 01:24:15,368,False,False,False,True,0.696
CHK_00048,checkout_abandonment,2019-07-22 04:55:19,CHK_SESSION_000048,CUST_431,6360.29,INR,6360.29,6,2019-07-21 22:03:19,2019-07-21 22:10:19,405,False,False,False,True,0.698
CHK_00049,checkout_abandonment,2020-06-16 11:52:13,CHK_SESSION_000049,CUST_354,8529.91,INR,8529.91,9,2020-06-16 04:22:13,2020-06-16 04:30:13,442,False,False,False,True,0.883
CHK_00050,checkout_abandonment,2019-12-10 07:26:22,CHK_SESSION_000050,CUST_755,17786.07,INR,17786.07,10,2019-12-09 23:18:22,2019-12-09 23:27:22,479,False,False,False,True,0.97
CHK_00051,checkout_abandonment,2019-07-27 20:51:15,CHK_SESSION_000051,CUST_540,8939.93,INR,8939.93,9,2019-07-27 12:15:15,2019-07-27 12:15:15,516,False,False,False,True,0.897
CHK_00052,checkout_abandonment,2020-01-12 23:27:37,CHK_SESSION_000052,CUST_554,158.53,INR,158.53,1,2020-01-12 14:13:37,2020-01-12 14:14:37,553,False,False,False,True,0.883
CHK_00053,checkout_abandonment,2019-01-20 09:59:11,CHK_SESSION_000053,CUST_188,4737.64,INR,4737.64,5,2019-01-20 00:07:11,2019-01-20 00:09:11,590,False,False,False,True,0.79
CHK_00054,checkout_abandonment,2020-06-07 06:11:10,CHK_SESSION_000054,CUST_217,302.95,INR,302.95,1,2020-06-06 19:41:10,2020-06-06 19:44:10,627,False,False,False,True,0.775
CHK_00055,checkout_abandonment,2019-11-02 11:06:25,CHK_SESSION_000055,CUST_619,4711.08,INR,4711.08,5,2019-11-01 23:58:25,2019-11-02 00:02:25,664,False,False,False,True,0.784
CHK_00056,checkout_abandonment,2019-01-26 20:49:45,CHK_SESSION_000056,CUST_206,192.56,INR,192.56,1,2019-01-26 09:03:45,2019-01-26 09:08:45,701,False,False,False,True,0.597
CHK_00057,checkout_abandonment,2019-04-29 03:17:32,CHK_SESSION_000057,CUST_715,8343.99,INR,8343.99,8,2019-04-28 14:53:32,2019-04-28 14:59:32,738,False,False,False,True,0.888
CHK_00058,checkout_abandonment,2020-06-07 03:09:20,CHK_SESSION_000058,CUST_566,6636.68,INR,6636.68,7,2020-06-06 14:07:20,2020-06-06 14:14:20,775,False,False,False,True,0.798
CHK_00059,checkout_abandonment,2019-09-16 18:16:31,CHK_SESSION_000059,CUST_26,679.77,INR,679.77,1,2019-09-16 04:36:31,2019-09-16 04:44:31,812,False,False,False,True,0.888
CHK_00060,checkout_abandonment,2019-10-28 01:22:12,CHK_SESSION_000060,CUST_263,1406.85,INR,1406.85,1,2019-10-27 11:04:12,2019-10-27 11:13:12,849,False,False,False,True,0.594
CHK_00061,checkout_abandonment,2019-03-28 11:34:10,CHK_SESSION_000061,CUST_54,8658.56,INR,8658.56,9,2019-03-27 20:48:10,2019-03-27 20:48:10,886,False,False,False,True,0.601
CHK_00062,checkout_abandonment,2020-03-07 15:03:08,CHK_SESSION_000062,CUST_280,885.61,INR,885.61,1,2020-03-06 23:39:08,2020-03-06 23:40:08,923,False,False,False,True,0.886
CHK_00063,checkout_abandonment,2019-08-21 18:05:59,CHK_SESSION_000063,CUST_262,9377.34,INR,9377.34,9,2019-08-21 02:03:59,2019-08-21 02:05:59,960,False,False,False,True,0.7
CHK_00064,checkout_abandonment,2019-09-20 12:46:30,CHK_SESSION_000064,CUST_648,788.5,INR,788.5,1,2019-09-19 20:06:30,2019-09-19 20:09:30,997,False,False,False,True,0.596
CHK_00065,checkout_abandonment,2019-09-21 21:33:23,CHK_SESSION_000065,CUST_818,218.29,INR,218.29,1,2019-09-21 04:15:23,2019-09-21 04:19:23,1034,False,False,False,True,0.692
CHK_00066,checkout_abandonment,2019-07-01 18:52:04,CHK_SESSION_000066,CUST_225,5419.07,INR,5419.07,5,2019-07-01 00:56:04,2019-07-01 01:01:04,1071,False,False,False,True,0.792
CHK_00067,checkout_abandonment,2019-03-23 21:54:43,CHK_SESSION_000067,CUST_893,193.39,INR,193.39,1,2019-03-23 03:20:43,2019-03-23 03:26:43,1108,False,False,False,True,0.601
CHK_00068,checkout_abandonment,2020-05-11 20:28:27,CHK_SESSION_000068,CUST_330,7235.11,INR,7235.11,7,2020-05-11 01:16:27,2020-05-11 01:23:27,1145,False,False,False,True,0.596
CHK_00069,checkout_abandonment,2019-02-05 05:31:18,CHK_SESSION_000069,CUST_158,466.46,INR,466.46,1,2019-02-04 09:41:18,2019-02-04 09:49:18,1182,False,False,False,True,0.789
CHK_00070,checkout_abandonment,2020-04-17 00:11:55,CHK_SESSION_000070,CUST_686,5267.18,INR,5267.18,5,2020-04-16 03:43:55,2020-04-16 03:52:55,1219,False,False,False,True,0.692
CHK_00071,checkout_abandonment,2020-01-18 00:57:04,CHK_SESSION_000071,CUST_587,5905.45,INR,5905.45,6,2020-01-17 04:01:04,2020-01-17 04:01:04,1256,False,False,False,True,0.497
CHK_00072,checkout_abandonment,2020-05-27 05:29:32,CHK_SESSION_000072,CUST_148,18289.05,INR,18289.05,10,2020-05-26 07:55:32,2020-05-26 07:56:32,1293,False,False,False,True,0.794
CHK_00073,checkout_abandonment,2019-11-07 17:53:56,CHK_SESSION_000073,CUST_531,4225.53,INR,4225.53,4,2019-11-06 19:41:56,2019-11-06 19:43:56,1330,False,False,False,True,0.99
CHK_00074,checkout_abandonment,2019-12-29 06:51:29,CHK_SESSION_000074,CUST_612,6871.57,INR,6871.57,7,2019-12-28 08:01:29,2019-12-28 08:04:29,1367,False,False,False,True,0.8
CHK_00075,checkout_abandonment,2019-12-31 00:29:10,CHK_SESSION_000075,CUST_859,7302.34,INR,7302.34,7,2019-12-30 01:01:10,2019-12-30 01:05:10,1404,False,False,False,True,0.487
CHK_00076,checkout_abandonment,2020-02-21 13:00:54,CHK_SESSION_000076,CUST_245,239.87,INR,239.87,1,2020-02-21 12:25:54,2020-02-21 12:30:54,30,False,False,False,True,0.89
CHK_00077,checkout_abandonment,2019-10-13 15:07:18,CHK_SESSION_000077,CUST_451,3881.91,INR,3881.91,4,2019-10-13 13:54:18,2019-10-13 14:00:18,67,False,False,False,True,0.994
CHK_00078,checkout_abandonment,2019-07-28 06:43:18,CHK_SESSION_000078,CUST_505,1405.19,INR,1405.19,1,2019-07-28 04:52:18,2019-07-28 04:59:18,104,False,False,False,True,0.885
CHK_00079,checkout_abandonment,2020-04-13 09:54:20,CHK_SESSION_000079,CUST_217,6110.46,INR,6110.46,6,2020-04-13 07:25:20,2020-04-13 07:33:20,141,False,False,False,True,0.775
CHK_00080,checkout_abandonment,2019-02-10 15:28:25,CHK_SESSION_000080,CUST_533,7484.11,INR,7484.11,7,2019-02-10 12:21:25,2019-02-10 12:30:25,178,False,False,False,True,0.596
CHK_00081,checkout_abandonment,2019-07-21 11:36:45,CHK_SESSION_000081,CUST_300,283.86,INR,283.86,1,2019-07-21 08:01:45,2019-07-21 08:01:45,215,False,False,False,True,0.694
CHK_00082,checkout_abandonment,2019-12-15 03:23:08,CHK_SESSION_000082,CUST_735,310.42,INR,310.42,1,2019-12-14 23:10:08,2019-12-14 23:11:08,252,False,False,False,True,0.503
CHK_00083,checkout_abandonment,2019-07-02 22:53:56,CHK_SESSION_000083,CUST_258,1750.47,INR,1750.47,2,2019-07-02 18:02:56,2019-07-02 18:04:56,289,False,False,False,True,0.594
CHK_00084,checkout_abandonment,2019-04-20 13:46:45,CHK_SESSION_000084,CUST_238,10659.69,INR,10659.69,10,2019-04-20 08:17:45,2019-04-20 08:20:45,326,False,False,False,True,0.688
CHK_00085,checkout_abandonment,2020-06-12 12:09:59,CHK_SESSION_000085,CUST_866,600.92,INR,600.92,1,2020-06-12 06:02:59,2020-06-12 06:06:59,363,False,False,False,True,0.691
CHK_00086,checkout_abandonment,2020-06-21 17:45:46,CHK_SESSION_000086,CUST_218,8670.18,INR,8670.18,9,2020-06-21 11:00:46,2020-06-21 11:05:46,400,False,False,False,True,0.792
CHK_00087,checkout_abandonment,2019-02-24 02:11:22,CHK_SESSION_000087,CUST_847,12714.77,INR,12714.77,10,2019-02-23 18:48:22,2019-02-23 18:54:22,437,False,False,False,True,0.49
CHK_00088,checkout_abandonment,2019-07-25 17:19:40,CHK_SESSION_000088,CUST_854,4646.34,INR,4646.34,5,2019-07-25 09:18:40,2019-07-25 09:25:40,474,False,False,False,True,0.496
CHK_00089,checkout_abandonment,2019-08-16 12:09:22,CHK_SESSION_000089,CUST_599,2623.63,INR,2623.63,3,2019-08-16 03:30:22,2019-08-16 03:38:22,511,False,False,False,True,0.493
CHK_00090,checkout_abandonment,2019-04-07 18:39:27,CHK_SESSION_000090,CUST_465,817.55,INR,817.55,1,2019-04-07 09:22:27,2019-04-07 09:31:27,548,False,False,False,True,0.693
CHK_00091,checkout_abandonment,2020-01-08 20:09:36,CHK_SESSION_000091,CUST_848,1895.72,INR,1895.72,2,2020-01-08 10:24:36,2020-01-08 10:24:36,585,False,False,False,True,0.489
CHK_00092,checkout_abandonment,2019-03-03 03:49:15,CHK_SESSION_000092,CUST_359,10965.13,INR,10965.13,10,2019-03-02 17:26:15,2019-03-02 17:27:15,622,False,False,False,True,0.793
CHK_00093,checkout_abandonment,2019-11-29 12:10:17,CHK_SESSION_000093,CUST_508,3056.89,INR,3056.89,3,2019-11-29 01:09:17,2019-11-29 01:11:17,659,False,False,False,True,0.694
CHK_00094,checkout_abandonment,2020-03-27 23:58:30,CHK_SESSION_000094,CUST_271,638.27,INR,638.27,1,2020-03-27 12:19:30,2020-03-27 12:22:30,696,False,False,False,True,0.592
CHK_00095,checkout_abandonment,2019-07-21 09:22:55,CHK_SESSION_000095,CUST_345,4227.19,INR,4227.19,4,2019-07-20 21:05:55,2019-07-20 21:09:55,733,False,False,False,True,0.493
CHK_00096,checkout_abandonment,2019-06-10 22:36:42,CHK_SESSION_000096,CUST_96,7735.6,INR,7735.6,8,2019-06-10 09:41:42,2019-06-10 09:46:42,770,False,False,False,True,0.797
CHK_00097,checkout_abandonment,2020-03-30 07:28:34,CHK_SESSION_000097,CUST_307,10879.64,INR,10879.64,10,2020-03-29 17:55:34,2020-03-29 18:01:34,807,False,False,False,True,0.893
CHK_00098,checkout_abandonment,2019-03-19 18:35:44,CHK_SESSION_000098,CUST_356,5694.63,INR,5694.63,6,2019-03-19 04:24:44,2019-03-19 04:31:44,844,False,False,False,True,0.792
CHK_00099,checkout_abandonment,2020-06-18 14:18:09,CHK_SESSION_000099,CUST_506,1587.79,INR,1587.79,2,2020-06-17 23:29:09,2020-06-17 23:37:09,881,False,False,False,True,0.789
CHK_00100,checkout_abandonment,2019-12-23 17:40:32,CHK_SESSION_000100,CUST_58,4322.64,INR,4322.64,4,2019-12-23 02:13:32,2019-12-23 02:22:32,918,False,False,False,True,0.787
CHK_00101,checkout_abandonment,2019-10-21 16:52:00,CHK_SESSION_000101,CUST_476,4631.4,INR,4631.4,5,2019-10-21 00:57:00,2019-10-21 00:57:00,955,False,False,False,True,0.787
CHK_00102,checkout_abandonment,2019-11-07 06:04:52,CHK_SESSION_000102,CUST_524,1456.65,INR,1456.65,1,2019-11-06 13:31:52,2019-11-06 13:32:52,992,False,False,False,True,0.489
CHK_00103,checkout_abandonment,2020-03-06 19:16:51,CHK_SESSION_000103,CUST_26,5152.64,INR,5152.64,5,2020-03-06 02:05:51,2020-03-06 02:07:51,1029,False,False,False,True,0.888
CHK_00104,checkout_abandonment,2019-12-31 08:58:14,CHK_SESSION_000104,CUST_538,1161.17,INR,1161.17,1,2019-12-30 15:09:14,2019-12-30 15:12:14,1066,False,False,False,True,0.592
CHK_00105,checkout_abandonment,2019-06-01 16:35:06,CHK_SESSION_000105,CUST_1,137.78,INR,137.78,1,2019-05-31 22:08:06,2019-05-31 22:12:06,1103,False,False,False,True,0.982
CHK_00106,checkout_abandonment,2020-01-10 13:28:30,CHK_SESSION_000106,CUST_311,458.16,INR,458.16,1,2020-01-09 18:23:30,2020-01-09 18:28:30,1140,False,False,False,True,0.981
CHK_00107,checkout_abandonment,2019-07-14 23:26:33,CHK_SESSION_000107,CUST_873,1488.19,INR,1488.19,1,2019-07-14 03:43:33,2019-07-14 03:49:33,1177,False,False,False,True,0.593
CHK_00108,checkout_abandonment,2019-02-08 10:09:02,CHK_SESSION_000108,CUST_644,49590.01,INR,49590.01,10,2019-02-07 13:48:02,2019-02-07 13:55:02,1214,False,False,False,True,0.795
CHK_00109,checkout_abandonment,2020-05-31 00:24:49,CHK_SESSION_000109,CUST_489,2616.16,INR,2616.16,3,2020-05-30 03:25:49,2020-05-30 03:33:49,1251,False,False,False,True,0.694
CHK_00110,checkout_abandonment,2019-09-16 11:41:35,CHK_SESSION_000110,CUST_273,728.74,INR,728.74,1,2019-09-15 14:04:35,2019-09-15 14:13:35,1288,False,False,False,True,0.995
CHK_00111,checkout_abandonment,2020-04-15 18:19:15,CHK_SESSION_000111,CUST_271,444.88,INR,444.88,1,2020-04-14 20:14:15,2020-04-14 20:14:15,1325,False,False,False,True,0.592
CHK_00112,checkout_abandonment,2019-09-29 19:44:53,CHK_SESSION_000112,CUST_688,515.43,INR,515.43,1,2019-09-28 21:01:53,2019-09-28 21:02:53,1362,False,False,False,True,0.789
CHK_00113,checkout_abandonment,2019-05-10 21:23:56,CHK_SESSION_000113,CUST_513,6646.64,INR,6646.64,7,2019-05-09 22:02:56,2019-05-09 22:04:56,1399,False,False,False,True,0.785
CHK_00114,checkout_abandonment,2019-01-02 04:13:32,CHK_SESSION_000114,CUST_267,488.04,INR,488.04,1,2019-01-01 04:14:32,2019-01-01 04:17:32,1436,False,False,False,True,0.793
CHK_00115,checkout_abandonment,2020-03-01 13:20:33,CHK_SESSION_000115,CUST_494,8150.6,INR,8150.6,8,2020-03-01 12:14:33,2020-03-01 12:18:33,62,False,False,False,True,0.891
CHK_00116,checkout_abandonment,2019-09-30 02:30:37,CHK_SESSION_000116,CUST_31,4590.73,INR,4590.73,5,2019-09-30 00:46:37,2019-09-30 00:51:37,99,False,False,False,True,0.59
CHK_00117,checkout_abandonment,2020-03-05 02:18:02,CHK_SESSION_000117,CUST_625,163.51,INR,163.51,1,2020-03-04 23:56:02,2020-03-05 00:02:02,136,False,False,False,True,0.899
CHK_00118,checkout_abandonment,2020-05-14 17:04:45,CHK_SESSION_000118,CUST_124,3075.98,INR,3075.98,3,2020-05-14 14:04:45,2020-05-14 14:11:45,173,False,False,False,True,0.991
CHK_00119,checkout_abandonment,2019-02-27 11:09:14,CHK_SESSION_000119,CUST_764,8890.96,INR,8890.96,9,2019-02-27 07:31:14,2019-02-27 07:39:14,210,False,False,False,True,0.797
CHK_00120,checkout_abandonment,2019-03-05 09:17:04,CHK_SESSION_000120,CUST_879,6637.51,INR,6637.51,7,2019-03-05 05:01:04,2019-03-05 05:10:04,247,False,False,False,True,0.498
CHK_00121,checkout_abandonment,2019-10-11 17:22:06,CHK_SESSION_000121,CUST_370,226.59,INR,226.59,1,2019-10-11 12:38:06,2019-10-11 12:38:06,284,False,False,False,True,0.692
CHK_00122,checkout_abandonment,2019-07-22 22:19:20,CHK_SESSION_000122,CUST_551,2080.81,INR,2080.81,2,2019-07-22 16:57:20,2019-07-22 16:58:20,321,False,False,False,True,0.688
CHK_00123,checkout_abandonment,2019-12-10 06:59:02,CHK_SESSION_000123,CUST_465,561.91,INR,561.91,1,2019-12-10 00:59:02,2019-12-10 01:01:02,358,False,False,False,True,0.693
CHK_00124,checkout_abandonment,2020-01-25 16:08:17,CHK_SESSION_000124,CUST_678,5139.36,INR,5139.36,5,2020-01-25 09:30:17,2020-01-25 09:33:17,395,False,False,False,True,0.801
CHK_00125,checkout_abandonment,2019-11-25 22:38:10,CHK_SESSION_000125,CUST_496,3733.34,INR,3733.34,4,2019-11-25 15:22:10,2019-11-25 15:26:10,432,False,False,False,True,0.586
CHK_00126,checkout_abandonment,2019-04-05 15:15:54,CHK_SESSION_000126,CUST_280,11769.4,INR,11769.4,10,2019-04-05 07:21:54,2019-04-05 07:26:54,469,False,False,False,True,0.886
CHK_00127,checkout_abandonment,2020-06-12 11:35:49,CHK_SESSION_000127,CUST_275,6920.54,INR,6920.54,7,2020-06-12 03:03:49,2020-06-12 03:09:49,506,False,False,False,True,0.888
CHK_00128,checkout_abandonment,2019-06-16 21:12:57,CHK_SESSION_000128,CUST_628,1452.5,INR,1452.5,1,2019-06-16 12:02:57,2019-06-16 12:09:57,543,False,False,False,True,0.698
CHK_00129,checkout_abandonment,2019-08-07 19:08:51,CHK_SESSION_000129,CUST_278,6896.47,INR,6896.47,7,2019-08-07 09:20:51,2019-08-07 09:28:51,580,False,False,False,True,0.891
CHK_00130,checkout_abandonment,2019-03-18 19:40:52,CHK_SESSION_000130,CUST_697,5111.97,INR,5111.97,5,2019-03-18 09:14:52,2019-03-18 09:23:52,617,False,False,False,True,0.892
CHK_00131,checkout_abandonment,2019-11-13 12:56:09,CHK_SESSION_000131,CUST_691,4521.01,INR,4521.01,5,2019-11-13 02:02:09,2019-11-13 02:02:09,654,False,False,False,True,0.895
CHK_00132,checkout_abandonment,2019-09-22 16:26:05,CHK_SESSION_000132,CUST_224,537.01,INR,537.01,1,2019-09-22 04:54:05,2019-09-22 04:55:05,691,False,False,False,True,0.597
CHK_00133,checkout_abandonment,2019-08-10 17:07:14,CHK_SESSION_000133,CUST_218,2850.22,INR,2850.22,3,2019-08-10 04:57:14,2019-08-10 04:59:14,728,False,False,False,True,0.792
CHK_00134,checkout_abandonment,2019-08-06 21:21:15,CHK_SESSION_000134,CUST_289,11226.58,INR,11226.58,10,2019-08-06 08:33:15,2019-08-06 08:36:15,765,False,False,False,True,0.695
CHK_00135,checkout_abandonment,2019-08-25 17:54:13,CHK_SESSION_000135,CUST_476,5524.48,INR,5524.48,6,2019-08-25 04:28:13,2019-08-25 04:32:13,802,False,False,False,True,0.787
