case_id,event_type,amount,customer_profile,problem_summary,root_cause,action_taken,policy_result,outcome,recovered_amount,days_to_recovery
CASE_00035,payment_failure,4570.81,Returning customer with historical transaction activity.,"Payment of ₹4,570.81 failed during the payment flow.",insufficient_funds,delayed_retry,approved,failed,0.0,0
CASE_00036,payment_failure,5780.95,Returning customer with historical transaction activity.,"Payment of ₹5,780.95 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,5780.95,1
CASE_00037,payment_failure,5971.85,Returning customer with historical transaction activity.,"Payment of ₹5,971.85 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,5971.85,3
CASE_00038,payment_failure,971.93,Returning customer with historical transaction activity.,Payment of ₹971.93 failed during the payment flow.,bank_timeout,delayed_retry,approved,recovered,971.93,2
CASE_00039,payment_failure,1783.67,Returning customer with historical transaction activity.,"Payment of ₹1,783.67 failed during the payment flow.",network_error,retry,approved,recovered,1783.67,2
CASE_00040,payment_failure,186.75,Returning customer with historical transaction activity.,Payment of ₹186.75 failed during the payment flow.,mandate_failure,mandate_retry,approved,failed,0.0,0
CASE_00041,payment_failure,3287.63,Returning customer with historical transaction activity.,"Payment of ₹3,287.63 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,3287.63,2
CASE_00042,payment_failure,350.26,Returning customer with historical transaction activity.,Payment of ₹350.26 failed during the payment flow.,insufficient_funds,delayed_retry,approved,recovered,350.26,3
CASE_00043,payment_failure,20525.9,Returning customer with historical transaction activity.,"Payment of ₹20,525.90 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,20525.9,1
CASE_00044,payment_failure,7114.76,Returning customer with historical transaction activity.,"Payment of ₹7,114.76 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,7114.76,3
CASE_00045,payment_failure,10926.12,Returning customer with historical transaction activity.,"Payment of ₹10,926.12 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,10926.12,1
CASE_00046,payment_failure,6219.19,Returning customer with historical transaction activity.,"Payment of ₹6,219.19 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,6219.19,2
CASE_00047,payment_failure,12030.02,Returning customer with historical transaction activity.,"Payment of ₹12,030.02 failed during the payment flow.",network_error,retry,approved,recovered,12030.02,2
CASE_00048,payment_failure,322.04,Returning customer with historical transaction activity.,Payment of ₹322.04 failed during the payment flow.,network_error,retry,approved,partial,110.82,6
CASE_00049,payment_failure,1181.92,Returning customer with historical transaction activity.,"Payment of ₹1,181.92 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,1181.92,3
CASE_00050,payment_failure,577.68,Returning customer with historical transaction activity.,Payment of ₹577.68 failed during the payment flow.,network_error,retry,approved,recovered,577.68,2
CASE_00051,payment_failure,3538.29,Returning customer with historical transaction activity.,"Payment of ₹3,538.29 failed during the payment flow.",insufficient_funds,delayed_retry,approved,failed,0.0,0
CASE_00052,payment_failure,7783.74,Returning customer with historical transaction activity.,"Payment of ₹7,783.74 failed during the payment flow.",network_error,retry,approved,recovered,7783.74,3
CASE_00053,payment_failure,272.24,Returning customer with historical transaction activity.,Payment of ₹272.24 failed during the payment flow.,network_error,retry,approved,recovered,272.24,2
CASE_00054,payment_failure,2234.36,Returning customer with historical transaction activity.,"Payment of ₹2,234.36 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,2234.36,1
CASE_00055,payment_failure,9054.47,Returning customer with historical transaction activity.,"Payment of ₹9,054.47 failed during the payment flow.",network_error,retry,approved,recovered,9054.47,2
CASE_00056,payment_failure,8312.45,Returning customer with historical transaction activity.,"Payment of ₹8,312.45 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,8312.45,2
CASE_00057,payment_failure,3954.95,Returning customer with historical transaction activity.,"Payment of ₹3,954.95 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,3954.95,3
CASE_00058,payment_failure,2596.24,Returning customer with historical transaction activity.,"Payment of ₹2,596.24 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,2596.24,2
CASE_00059,payment_failure,16006.55,Returning customer with historical transaction activity.,"Payment of ₹16,006.55 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,16006.55,3
CASE_00060,payment_failure,4345.05,Returning customer with historical transaction activity.,"Payment of ₹4,345.05 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,4345.05,2
CASE_00061,payment_failure,1139.59,Returning customer with historical transaction activity.,"Payment of ₹1,139.59 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,1139.59,3
CASE_00062,payment_failure,3818.83,Returning customer with historical transaction activity.,"Payment of ₹3,818.83 failed during the payment flow.",network_error,retry,approved,recovered,3818.83,3
CASE_00063,payment_failure,135.29,Returning customer with historical transaction activity.,Payment of ₹135.29 failed during the payment flow.,network_error,retry,approved,recovered,135.29,3
CASE_00064,payment_failure,3606.35,Returning customer with historical transaction activity.,"Payment of ₹3,606.35 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,3606.35,3
CASE_00065,payment_failure,3054.4,Returning customer with historical transaction activity.,"Payment of ₹3,054.40 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,3054.4,1
CASE_00066,payment_failure,6062.32,Returning customer with historical transaction activity.,"Payment of ₹6,062.32 failed during the payment flow.",insufficient_funds,delayed_retry,approved,partial,4000.08,3
CASE_00067,payment_failure,2889.23,Returning customer with historical transaction activity.,"Payment of ₹2,889.23 failed during the payment flow.",network_error,retry,approved,recovered,2889.23,1
CASE_00068,payment_failure,22165.15,Returning customer with historical transaction activity.,"Payment of ₹22,165.15 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,22165.15,2
CASE_00069,payment_failure,15662.93,Returning customer with historical transaction activity.,"Payment of ₹15,662.93 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
CASE_00070,payment_failure,697.2,Returning customer with historical transaction activity.,Payment of ₹697.20 failed during the payment flow.,insufficient_funds,delayed_retry,approved,partial,424.38,3
CASE_00071,payment_failure,7834.37,Returning customer with historical transaction activity.,"Payment of ₹7,834.37 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,7834.37,3
CASE_00072,payment_failure,2029.35,Returning customer with historical transaction activity.,"Payment of ₹2,029.35 failed during the payment flow.",expired_card,payment_method_update,approved,partial,922.71,5
CASE_00073,payment_failure,1255.79,Returning customer with historical transaction activity.,"Payment of ₹1,255.79 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,1255.79,1
CASE_00074,payment_failure,4746.77,Returning customer with historical transaction activity.,"Payment of ₹4,746.77 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,4746.77,3
CASE_00075,payment_failure,8451.89,Returning customer with historical transaction activity.,"Payment of ₹8,451.89 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,8451.89,1
CASE_00076,payment_failure,5115.29,Returning customer with historical transaction activity.,"Payment of ₹5,115.29 failed during the payment flow.",expired_card,payment_method_update,approved,recovered,5115.29,1
CASE_00077,payment_failure,5884.7,Returning customer with historical transaction activity.,"Payment of ₹5,884.70 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,5884.7,3
CASE_00078,payment_failure,517.92,Returning customer with historical transaction activity.,Payment of ₹517.92 failed during the payment flow.,insufficient_funds,delayed_retry,approved,recovered,517.92,2
CASE_00079,payment_failure,1228.4,Returning customer with historical transaction activity.,"Payment of ₹1,228.40 failed during the payment flow.",expired_card,payment_method_update,approved,recovered,1228.4,3
CASE_00080,payment_failure,6162.75,Returning customer with historical transaction activity.,"Payment of ₹6,162.75 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,6162.75,3
CASE_00081,payment_failure,11418.31,Returning customer with historical transaction activity.,"Payment of ₹11,418.31 failed during the payment flow.",insufficient_funds,delayed_retry,approved,failed,0.0,0
CASE_00082,payment_failure,903.87,Returning customer with historical transaction activity.,Payment of ₹903.87 failed during the payment flow.,insufficient_funds,delayed_retry,approved,recovered,903.87,1
CASE_00083,payment_failure,6840.03,Returning customer with historical transaction activity.,"Payment of ₹6,840.03 failed during the payment flow.",network_error,retry,approved,recovered,6840.03,2
CASE_00084,payment_failure,39456.54,Returning customer with historical transaction activity.,"Payment of ₹39,456.54 failed during the payment flow.",expired_card,payment_method_update,approved,recovered,39456.54,1
CASE_00085,payment_failure,505.47,Returning customer with historical transaction activity.,Payment of ₹505.47 failed during the payment flow.,insufficient_funds,delayed_retry,approved,failed,0.0,0
CASE_00086,payment_failure,4631.4,Returning customer with historical transaction activity.,"Payment of ₹4,631.40 failed during the payment flow.",network_error,retry,approved,recovered,4631.4,1
CASE_00087,payment_failure,683.09,Returning customer with historical transaction activity.,Payment of ₹683.09 failed during the payment flow.,expired_card,payment_method_update,approved,recovered,683.09,2
CASE_00088,payment_failure,5777.63,Returning customer with historical transaction activity.,"Payment of ₹5,777.63 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,5777.63,2
CASE_00089,payment_failure,3914.28,Returning customer with historical transaction activity.,"Payment of ₹3,914.28 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
CASE_00090,payment_failure,3727.53,Returning customer with historical transaction activity.,"Payment of ₹3,727.53 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,3727.53,3
CASE_00091,payment_failure,10033.04,Returning customer with historical transaction activity.,"Payment of ₹10,033.04 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,10033.04,1
CASE_00092,payment_failure,171.81,Returning customer with historical transaction activity.,Payment of ₹171.81 failed during the payment flow.,mandate_failure,mandate_retry,approved,recovered,171.81,2
CASE_00093,payment_failure,10348.44,Returning customer with historical transaction activity.,"Payment of ₹10,348.44 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
CASE_00094,payment_failure,429.11,Returning customer with historical transaction activity.,Payment of ₹429.11 failed during the payment flow.,bank_timeout,delayed_retry,approved,failed,0.0,0
CASE_00095,payment_failure,7126.38,Returning customer with historical transaction activity.,"Payment of ₹7,126.38 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,7126.38,3
CASE_00096,payment_failure,2499.13,Returning customer with historical transaction activity.,"Payment of ₹2,499.13 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
CASE_00097,payment_failure,2144.72,Returning customer with historical transaction activity.,"Payment of ₹2,144.72 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
CASE_00098,payment_failure,280.54,Returning customer with historical transaction activity.,Payment of ₹280.54 failed during the payment flow.,insufficient_funds,delayed_retry,approved,recovered,280.54,2
CASE_00099,payment_failure,997.66,Returning customer with historical transaction activity.,Payment of ₹997.66 failed during the payment flow.,insufficient_funds,delayed_retry,approved,recovered,997.66,1
CASE_00100,payment_failure,9095.14,Returning customer with historical transaction activity.,"Payment of ₹9,095.14 failed during the payment flow.",network_error,retry,approved,recovered,9095.14,2
CASE_00101,payment_failure,4033.8,Returning customer with historical transaction activity.,"Payment of ₹4,033.80 failed during the payment flow.",expired_card,payment_method_update,approved,recovered,4033.8,2
CASE_00102,payment_failure,3085.11,Returning customer with historical transaction activity.,"Payment of ₹3,085.11 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,3085.11,3
CASE_00103,payment_failure,280.54,Returning customer with historical transaction activity.,Payment of ₹280.54 failed during the payment flow.,bank_timeout,delayed_retry,approved,recovered,280.54,3
CASE_00104,payment_failure,1304.76,Returning customer with historical transaction activity.,"Payment of ₹1,304.76 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
CASE_00105,payment_failure,6161.92,Returning customer with historical transaction activity.,"Payment of ₹6,161.92 failed during the payment flow.",insufficient_funds,delayed_retry,approved,partial,3917.55,3
CASE_00106,payment_failure,3206.29,Returning customer with historical transaction activity.,"Payment of ₹3,206.29 failed during the payment flow.",expired_card,payment_method_update,approved,recovered,3206.29,3
CASE_00107,payment_failure,5739.45,Returning customer with historical transaction activity.,"Payment of ₹5,739.45 failed during the payment flow.",network_error,retry,approved,partial,3958.59,3
CASE_00108,payment_failure,1164.49,Returning customer with historical transaction activity.,"Payment of ₹1,164.49 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,1164.49,1
CASE_00109,payment_failure,809.25,Returning customer with historical transaction activity.,Payment of ₹809.25 failed during the payment flow.,bank_timeout,delayed_retry,approved,recovered,809.25,1
CASE_00110,payment_failure,358.56,Returning customer with historical transaction activity.,Payment of ₹358.56 failed during the payment flow.,expired_card,payment_method_update,approved,recovered,358.56,1
CASE_00111,payment_failure,6959.55,Returning customer with historical transaction activity.,"Payment of ₹6,959.55 failed during the payment flow.",bank_timeout,delayed_retry,approved,failed,0.0,0
CASE_00112,payment_failure,7758.84,Returning customer with historical transaction activity.,"Payment of ₹7,758.84 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,7758.84,3
CASE_00113,payment_failure,2478.38,Returning customer with historical transaction activity.,"Payment of ₹2,478.38 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,2478.38,2
CASE_00114,payment_failure,8104.12,Returning customer with historical transaction activity.,"Payment of ₹8,104.12 failed during the payment flow.",network_error,retry,approved,recovered,8104.12,3
CASE_00115,payment_failure,11592.61,Returning customer with historical transaction activity.,"Payment of ₹11,592.61 failed during the payment flow.",network_error,retry,approved,recovered,11592.61,2
CASE_00116,payment_failure,573.53,Returning customer with historical transaction activity.,Payment of ₹573.53 failed during the payment flow.,bank_timeout,delayed_retry,approved,recovered,573.53,1
CASE_00117,payment_failure,3763.22,Returning customer with historical transaction activity.,"Payment of ₹3,763.22 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,3763.22,1
CASE_00118,payment_failure,3534.14,Returning customer with historical transaction activity.,"Payment of ₹3,534.14 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,3534.14,1
CASE_00119,payment_failure,6096.35,Returning customer with historical transaction activity.,"Payment of ₹6,096.35 failed during the payment flow.",bank_timeout,delayed_retry,approved,partial,3259.94,5
CASE_00120,payment_failure,714.63,Returning customer with historical transaction activity.,Payment of ₹714.63 failed during the payment flow.,network_error,retry,approved,recovered,714.63,2
CASE_00121,payment_failure,3792.27,Returning customer with historical transaction activity.,"Payment of ₹3,792.27 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,3792.27,3
CASE_00122,payment_failure,1399.38,Returning customer with historical transaction activity.,"Payment of ₹1,399.38 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,1399.38,2
CASE_00123,payment_failure,3662.79,Returning customer with historical transaction activity.,"Payment of ₹3,662.79 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
CASE_00124,payment_failure,14056.88,Returning customer with historical transaction activity.,"Payment of ₹14,056.88 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,14056.88,3
CASE_00125,payment_failure,309.59,Returning customer with historical transaction activity.,Payment of ₹309.59 failed during the payment flow.,network_error,retry,approved,recovered,309.59,1
CASE_00126,payment_failure,8287.55,Returning customer with historical transaction activity.,"Payment of ₹8,287.55 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,8287.55,2
CASE_00127,payment_failure,490.53,Returning customer with historical transaction activity.,Payment of ₹490.53 failed during the payment flow.,mandate_failure,mandate_retry,approved,recovered,490.53,1
CASE_00128,payment_failure,3201.31,Returning customer with historical transaction activity.,"Payment of ₹3,201.31 failed during the payment flow.",network_error,retry,approved,recovered,3201.31,3
CASE_00129,payment_failure,15669.57,Returning customer with historical transaction activity.,"Payment of ₹15,669.57 failed during the payment flow.",bank_timeout,delayed_retry,approved,failed,0.0,0
CASE_00130,payment_failure,3732.51,Returning customer with historical transaction activity.,"Payment of ₹3,732.51 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,3732.51,3
CASE_00131,payment_failure,2070.85,Returning customer with historical transaction activity.,"Payment of ₹2,070.85 failed during the payment flow.",expired_card,payment_method_update,approved,recovered,2070.85,1
CASE_00132,payment_failure,630.8,Returning customer with historical transaction activity.,Payment of ₹630.80 failed during the payment flow.,mandate_failure,mandate_retry,approved,failed,0.0,0
CASE_00133,payment_failure,4803.21,Returning customer with historical transaction activity.,"Payment of ₹4,803.21 failed during the payment flow.",network_error,retry,approved,failed,0.0,0
CASE_00134,payment_failure,536.18,Returning customer with historical transaction activity.,Payment of ₹536.18 failed during the payment flow.,network_error,retry,approved,recovered,536.18,1
CASE_00135,payment_failure,6412.58,Returning customer with historical transaction activity.,"Payment of ₹6,412.58 failed during the payment flow.",network_error,retry,approved,recovered,6412.58,1
CASE_00136,payment_failure,11102.91,Returning customer with historical transaction activity.,"Payment of ₹11,102.91 failed during the payment flow.",expired_card,payment_method_update,approved,recovered,11102.91,3
CASE_00137,payment_failure,3949.14,Returning customer with historical transaction activity.,"Payment of ₹3,949.14 failed during the payment flow.",network_error,retry,approved,recovered,3949.14,3
CASE_00138,payment_failure,6029.95,Returning customer with historical transaction activity.,"Payment of ₹6,029.95 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,6029.95,1
CASE_00139,payment_failure,431.6,Returning customer with historical transaction activity.,Payment of ₹431.60 failed during the payment flow.,insufficient_funds,delayed_retry,approved,failed,0.0,0
CASE_00140,payment_failure,590.13,Returning customer with historical transaction activity.,Payment of ₹590.13 failed during the payment flow.,network_error,retry,approved,recovered,590.13,3
CASE_00141,payment_failure,2427.75,Returning customer with historical transaction activity.,"Payment of ₹2,427.75 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,2427.75,2
CASE_00142,payment_failure,10220.62,Returning customer with historical transaction activity.,"Payment of ₹10,220.62 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,10220.62,1
CASE_00143,payment_failure,261.45,Returning customer with historical transaction activity.,Payment of ₹261.45 failed during the payment flow.,mandate_failure,mandate_retry,approved,recovered,261.45,1
CASE_00144,payment_failure,6225.83,Returning customer with historical transaction activity.,"Payment of ₹6,225.83 failed during the payment flow.",network_error,retry,approved,recovered,6225.83,3
CASE_00145,payment_failure,9204.7,Returning customer with historical transaction activity.,"Payment of ₹9,204.70 failed during the payment flow.",network_error,retry,approved,recovered,9204.7,1
CASE_00146,payment_failure,3919.26,Returning customer with historical transaction activity.,"Payment of ₹3,919.26 failed during the payment flow.",insufficient_funds,delayed_retry,approved,failed,0.0,0
CASE_00147,payment_failure,4394.85,Returning customer with historical transaction activity.,"Payment of ₹4,394.85 failed during the payment flow.",mandate_failure,mandate_retry,approved,partial,3260.03,3
CASE_00148,payment_failure,5084.58,Returning customer with historical transaction activity.,"Payment of ₹5,084.58 failed during the payment flow.",network_error,retry,approved,recovered,5084.58,1
CASE_00149,payment_failure,16018.17,Returning customer with historical transaction activity.,"Payment of ₹16,018.17 failed during the payment flow.",network_error,retry,approved,recovered,16018.17,1
CASE_00150,payment_failure,2561.38,Returning customer with historical transaction activity.,"Payment of ₹2,561.38 failed during the payment flow.",mandate_failure,mandate_retry,approved,recovered,2561.38,1
CASE_00151,payment_failure,10334.33,Returning customer with historical transaction activity.,"Payment of ₹10,334.33 failed during the payment flow.",expired_card,payment_method_update,approved,recovered,10334.33,1
CASE_00152,payment_failure,9852.93,Returning customer with historical transaction activity.,"Payment of ₹9,852.93 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,9852.93,1
CASE_00153,payment_failure,386.78,Returning customer with historical transaction activity.,Payment of ₹386.78 failed during the payment flow.,network_error,retry,approved,recovered,386.78,3
CASE_00154,payment_failure,6493.92,Returning customer with historical transaction activity.,"Payment of ₹6,493.92 failed during the payment flow.",expired_card,payment_method_update,approved,recovered,6493.92,3
CASE_00155,payment_failure,31503.48,Returning customer with historical transaction activity.,"Payment of ₹31,503.48 failed during the payment flow.",insufficient_funds,delayed_retry,approved,recovered,31503.48,2
CASE_00156,payment_failure,253.98,Returning customer with historical transaction activity.,Payment of ₹253.98 failed during the payment flow.,insufficient_funds,delayed_retry,approved,recovered,253.98,1
CASE_00157,payment_failure,3980.68,Returning customer with historical transaction activity.,"Payment of ₹3,980.68 failed during the payment flow.",network_error,retry,approved,recovered,3980.68,3
CASE_00158,payment_failure,3923.41,Returning customer with historical transaction activity.,"Payment of ₹3,923.41 failed during the payment flow.",network_error,retry,approved,recovered,3923.41,2
CASE_00159,payment_failure,7079.07,Returning customer with historical transaction activity.,"Payment of ₹7,079.07 failed during the payment flow.",insufficient_funds,delayed_retry,approved,failed,0.0,0
CASE_00160,payment_failure,7493.24,Returning customer with historical transaction activity.,"Payment of ₹7,493.24 failed during the payment flow.",mandate_failure,mandate_retry,approved,failed,0.0,0
CASE_00161,payment_failure,700.52,Returning customer with historical transaction activity.,Payment of ₹700.52 failed during the payment flow.,network_error,retry,approved,partial,242.79,2
CASE_00162,payment_failure,798.46,Returning customer with historical transaction activity.,Payment of ₹798.46 failed during the payment flow.,bank_timeout,delayed_retry,approved,recovered,798.46,2
CASE_00163,payment_failure,156.04,Returning customer with historical transaction activity.,Payment of ₹156.04 failed during the payment flow.,insufficient_funds,delayed_retry,approved,recovered,156.04,2
CASE_00164,payment_failure,203.35,Returning customer with historical transaction activity.,Payment of ₹203.35 failed during the payment flow.,mandate_failure,mandate_retry,approved,failed,0.0,0
CASE_00165,payment_failure,3769.86,Returning customer with historical transaction activity.,"Payment of ₹3,769.86 failed during the payment flow.",bank_timeout,delayed_retry,approved,recovered,3769.86,2
CASE_00166,payment_failure,7952.23,Returning customer with historical transaction activity.,"Payment of ₹7,952.23 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
CASE_00167,payment_failure,6190.97,Returning customer with historical transaction activity.,"Payment of ₹6,190.97 failed during the payment flow.",network_error,retry,approved,recovered,6190.97,3
CASE_00168,payment_failure,6506.37,Returning customer with historical transaction activity.,"Payment of ₹6,506.37 failed during the payment flow.",network_error,retry,approved,partial,4283.29,4
CASE_00169,payment_failure,21723.59,Returning customer with historical transaction activity.,"Payment of ₹21,723.59 failed during the payment flow.",bank_timeout,delayed_retry,approved,partial,9761.7,4
CASE_00170,payment_failure,1329.66,Returning customer with historical transaction activity.,"Payment of ₹1,329.66 failed during the payment flow.",expired_card,payment_method_update,approved,failed,0.0,0
