event_id,event_type,timestamp,invoice_id,customer_id,amount_at_risk,currency,invoice_date,due_date,days_overdue,payment_status,payment_received,previous_invoice_count,previous_late_payment_count,reminder_count
INV_EVT_00026,overdue_invoice,2026-08-29,INV_000026,B2B_0246,128800.1,INR,2026-06-15,2026-07-15,45,overdue,False,13,3,3
INV_EVT_00027,overdue_invoice,2026-08-29,INV_000027,B2B_0004,10000.0,INR,2026-04-06,2026-05-06,115,overdue,False,12,1,0
INV_EVT_00028,overdue_invoice,2026-08-29,INV_000028,B2B_0293,153158.76,INR,2026-05-11,2026-05-26,95,overdue,False,11,2,2
INV_EVT_00029,overdue_invoice,2026-08-29,INV_000029,B2B_0138,90364.8,INR,2026-05-23,2026-06-22,68,overdue,False,13,3,1
INV_EVT_00030,overdue_invoice,2026-08-29,INV_000030,B2B_0153,345207.25,INR,2026-06-22,2026-07-07,53,overdue,False,5,1,0
INV_EVT_00031,overdue_invoice,2026-08-29,INV_000031,B2B_0050,87186.2,INR,2026-06-08,2026-07-23,37,overdue,False,10,0,1
INV_EVT_00032,overdue_invoice,2026-08-29,INV_000032,B2B_0227,34427.07,INR,2026-06-12,2026-07-27,33,overdue,False,11,6,0
INV_EVT_00033,overdue_invoice,2026-08-29,INV_000033,B2B_0292,39444.37,INR,2026-04-25,2026-05-25,96,overdue,False,12,2,1
INV_EVT_00034,overdue_invoice,2026-08-29,INV_000034,B2B_0217,103749.23,INR,2026-06-08,2026-07-08,52,overdue,False,8,3,0
INV_EVT_00035,overdue_invoice,2026-08-29,INV_000035,B2B_0160,95940.28,INR,2026-05-28,2026-06-12,78,overdue,False,11,2,3
INV_EVT_00036,overdue_invoice,2026-08-29,INV_000036,B2B_0260,45158.48,INR,2026-04-21,2026-05-21,100,overdue,False,9,1,0
INV_EVT_00037,overdue_invoice,2026-08-29,INV_000037,B2B_0074,31915.05,INR,2026-06-21,2026-07-21,39,overdue,False,11,5,1
INV_EVT_00038,overdue_invoice,2026-08-29,INV_000038,B2B_0295,252220.84,INR,2026-04-30,2026-05-30,91,overdue,False,11,1,3
INV_EVT_00039,overdue_invoice,2026-08-29,INV_000039,B2B_0289,61963.68,INR,2026-06-23,2026-07-23,37,overdue,False,11,4,1
INV_EVT_00040,overdue_invoice,2026-08-29,INV_000040,B2B_0102,70999.64,INR,2026-04-19,2026-06-03,87,overdue,False,14,8,1
INV_EVT_00041,overdue_invoice,2026-08-29,INV_000041,B2B_0059,48950.56,INR,2026-06-12,2026-07-12,48,overdue,False,5,0,0
INV_EVT_00042,overdue_invoice,2026-08-29,INV_000042,B2B_0023,229565.22,INR,2026-07-17,2026-08-01,28,overdue,False,3,0,2
INV_EVT_00043,overdue_invoice,2026-08-29,INV_000043,B2B_0080,183067.61,INR,2026-05-31,2026-06-30,60,overdue,False,8,0,2
INV_EVT_00044,overdue_invoice,2026-08-29,INV_000044,B2B_0076,33121.19,INR,2026-06-28,2026-07-13,47,overdue,False,10,1,0
INV_EVT_00045,overdue_invoice,2026-08-29,INV_000045,B2B_0140,70543.08,INR,2026-05-30,2026-06-14,76,overdue,False,9,1,3
INV_EVT_00046,overdue_invoice,2026-08-29,INV_000046,B2B_0252,35866.34,INR,2026-04-13,2026-05-28,93,overdue,False,11,5,0
INV_EVT_00047,overdue_invoice,2026-08-29,INV_000047,B2B_0015,330618.97,INR,2026-06-06,2026-07-06,54,overdue,False,8,1,2
INV_EVT_00048,overdue_invoice,2026-08-29,INV_000048,B2B_0289,106923.07,INR,2026-05-16,2026-06-15,75,overdue,False,11,4,0
INV_EVT_00049,overdue_invoice,2026-08-29,INV_000049,B2B_0195,59938.26,INR,2026-06-07,2026-06-22,68,overdue,False,3,0,2
INV_EVT_00050,overdue_invoice,2026-08-29,INV_000050,B2B_0277,57253.56,INR,2026-04-09,2026-05-09,112,overdue,False,3,1,3
INV_EVT_00051,overdue_invoice,2026-08-29,INV_000051,B2B_0165,115911.05,INR,2026-05-29,2026-06-13,77,overdue,False,13,6,1
INV_EVT_00052,overdue_invoice,2026-08-29,INV_000052,B2B_0289,61600.13,INR,2026-06-07,2026-06-22,68,overdue,False,11,4,2
INV_EVT_00053,overdue_invoice,2026-08-29,INV_000053,B2B_0213,257653.63,INR,2026-06-20,2026-07-20,40,overdue,False,3,0,2
INV_EVT_00054,overdue_invoice,2026-08-29,INV_000054,B2B_0162,35749.19,INR,2026-06-26,2026-08-10,19,overdue,False,5,0,3
INV_EVT_00055,overdue_invoice,2026-08-29,INV_000055,B2B_0067,27931.76,INR,2026-05-28,2026-06-27,63,overdue,False,3,0,2
INV_EVT_00056,overdue_invoice,2026-08-29,INV_000056,B2B_0044,231799.91,INR,2026-05-11,2026-06-10,80,overdue,False,3,0,1
INV_EVT_00057,overdue_invoice,2026-08-29,INV_000057,B2B_0253,53353.2,INR,2026-04-19,2026-05-19,102,overdue,False,10,3,0
INV_EVT_00058,overdue_invoice,2026-08-29,INV_000058,B2B_0113,233547.15,INR,2026-06-26,2026-07-26,34,overdue,False,8,0,0
INV_EVT_00059,overdue_invoice,2026-08-29,INV_000059,B2B_0189,151621.03,INR,2026-06-25,2026-08-09,20,overdue,False,13,1,0
INV_EVT_00060,overdue_invoice,2026-08-29,INV_000060,B2B_0068,25305.32,INR,2026-06-18,2026-07-03,57,overdue,False,3,0,0
INV_EVT_00061,overdue_invoice,2026-08-29,INV_000061,B2B_0020,46057.23,INR,2026-05-27,2026-06-26,64,overdue,False,8,2,2
INV_EVT_00062,overdue_invoice,2026-08-29,INV_000062,B2B_0003,78018.14,INR,2026-06-04,2026-07-19,41,overdue,False,12,4,3
INV_EVT_00063,overdue_invoice,2026-08-29,INV_000063,B2B_0090,62874.12,INR,2026-07-02,2026-08-01,28,overdue,False,8,1,3
INV_EVT_00064,overdue_invoice,2026-08-29,INV_000064,B2B_0070,95563.44,INR,2026-04-29,2026-05-29,92,overdue,False,5,4,1
INV_EVT_00065,overdue_invoice,2026-08-29,INV_000065,B2B_0271,45947.17,INR,2026-05-19,2026-06-03,87,overdue,False,6,0,1
INV_EVT_00066,overdue_invoice,2026-08-29,INV_000066,B2B_0250,70073.52,INR,2026-05-22,2026-06-21,69,overdue,False,11,2,3
INV_EVT_00067,overdue_invoice,2026-08-29,INV_000067,B2B_0216,167113.99,INR,2026-07-12,2026-08-11,18,overdue,False,4,1,0
INV_EVT_00068,overdue_invoice,2026-08-29,INV_000068,B2B_0196,217853.39,INR,2026-05-19,2026-06-18,72,overdue,False,14,2,1
INV_EVT_00069,overdue_invoice,2026-08-29,INV_000069,B2B_0278,39863.17,INR,2026-05-17,2026-06-16,74,overdue,False,3,1,1
INV_EVT_00070,overdue_invoice,2026-08-29,INV_000070,B2B_0034,62296.79,INR,2026-05-27,2026-06-11,79,overdue,False,6,0,3
INV_EVT_00071,overdue_invoice,2026-08-29,INV_000071,B2B_0230,67765.85,INR,2026-06-18,2026-07-18,42,overdue,False,11,1,2
INV_EVT_00072,overdue_invoice,2026-08-29,INV_000072,B2B_0222,25472.65,INR,2026-04-09,2026-05-09,112,overdue,False,13,4,2
INV_EVT_00073,overdue_invoice,2026-08-29,INV_000073,B2B_0270,158837.46,INR,2026-05-08,2026-06-22,68,overdue,False,14,2,3
INV_EVT_00074,overdue_invoice,2026-08-29,INV_000074,B2B_0215,117830.96,INR,2026-04-04,2026-05-19,102,overdue,False,4,0,1
INV_EVT_00075,overdue_invoice,2026-08-29,INV_000075,B2B_0086,113817.65,INR,2026-05-08,2026-06-07,83,overdue,False,5,0,0
INV_EVT_00076,overdue_invoice,2026-08-29,INV_000076,B2B_0265,68666.67,INR,2026-05-26,2026-07-10,50,overdue,False,11,2,3
INV_EVT_00077,overdue_invoice,2026-08-29,INV_000077,B2B_0036,150468.63,INR,2026-06-25,2026-07-25,35,overdue,False,10,3,2
INV_EVT_00078,overdue_invoice,2026-08-29,INV_000078,B2B_0096,162101.04,INR,2026-05-22,2026-06-21,69,overdue,False,7,1,2
INV_EVT_00079,overdue_invoice,2026-08-29,INV_000079,B2B_0133,189712.69,INR,2026-05-16,2026-06-15,75,overdue,False,7,2,1
INV_EVT_00080,overdue_invoice,2026-08-29,INV_000080,B2B_0039,65458.86,INR,2026-07-17,2026-08-16,13,overdue,False,3,1,3
INV_EVT_00081,overdue_invoice,2026-08-29,INV_000081,B2B_0093,99185.1,INR,2026-05-28,2026-06-27,63,overdue,False,10,1,3
INV_EVT_00082,overdue_invoice,2026-08-29,INV_000082,B2B_0023,54951.98,INR,2026-04-28,2026-06-12,78,overdue,False,3,0,2
INV_EVT_00083,overdue_invoice,2026-08-29,INV_000083,B2B_0099,57924.37,INR,2026-06-27,2026-07-27,33,overdue,False,7,0,1
INV_EVT_00084,overdue_invoice,2026-08-29,INV_000084,B2B_0257,164459.86,INR,2026-05-05,2026-06-19,71,overdue,False,3,0,1
INV_EVT_00085,overdue_invoice,2026-08-29,INV_000085,B2B_0183,78294.59,INR,2026-04-10,2026-05-10,111,overdue,False,8,3,3
INV_EVT_00086,overdue_invoice,2026-08-29,INV_000086,B2B_0125,66322.86,INR,2026-07-09,2026-08-23,6,overdue,False,7,2,0
INV_EVT_00087,overdue_invoice,2026-08-29,INV_000087,B2B_0033,121517.13,INR,2026-04-14,2026-05-14,107,overdue,False,14,2,2
INV_EVT_00088,overdue_invoice,2026-08-29,INV_000088,B2B_0109,127726.32,INR,2026-07-04,2026-08-03,26,overdue,False,4,4,1
INV_EVT_00089,overdue_invoice,2026-08-29,INV_000089,B2B_0273,41019.86,INR,2026-06-07,2026-07-22,38,overdue,False,7,2,0
INV_EVT_00090,overdue_invoice,2026-08-29,INV_000090,B2B_0172,44671.19,INR,2026-07-12,2026-08-26,3,overdue,False,5,4,0
INV_EVT_00091,overdue_invoice,2026-08-29,INV_000091,B2B_0090,132598.78,INR,2026-04-22,2026-05-22,99,overdue,False,8,1,2
INV_EVT_00092,overdue_invoice,2026-08-29,INV_000092,B2B_0098,114244.33,INR,2026-06-02,2026-07-02,58,overdue,False,12,0,2
INV_EVT_00093,overdue_invoice,2026-08-29,INV_000093,B2B_0064,63422.47,INR,2026-05-27,2026-06-26,64,overdue,False,4,0,2
INV_EVT_00094,overdue_invoice,2026-08-29,INV_000094,B2B_0267,195228.9,INR,2026-05-19,2026-06-18,72,overdue,False,13,2,2
INV_EVT_00095,overdue_invoice,2026-08-29,INV_000095,B2B_0210,69282.61,INR,2026-05-19,2026-06-03,87,overdue,False,11,1,0
INV_EVT_00096,overdue_invoice,2026-08-29,INV_000096,B2B_0021,15996.93,INR,2026-07-09,2026-08-23,6,overdue,False,8,1,0
INV_EVT_00097,overdue_invoice,2026-08-29,INV_000097,B2B_0071,39677.07,INR,2026-07-03,2026-08-02,27,overdue,False,9,1,0
INV_EVT_00098,overdue_invoice,2026-08-29,INV_000098,B2B_0118,23050.48,INR,2026-04-09,2026-04-24,127,overdue,False,8,2,0
INV_EVT_00099,overdue_invoice,2026-08-29,INV_000099,B2B_0052,187536.73,INR,2026-05-18,2026-06-17,73,overdue,False,4,1,1
INV_EVT_00100,overdue_invoice,2026-08-29,INV_000100,B2B_0220,112354.38,INR,2026-07-12,2026-08-26,3,overdue,False,9,2,1
INV_EVT_00101,overdue_invoice,2026-08-29,INV_000101,B2B_0203,82471.62,INR,2026-06-30,2026-07-30,30,overdue,False,12,0,3
INV_EVT_00102,overdue_invoice,2026-08-29,INV_000102,B2B_0232,11744.88,INR,2026-07-01,2026-07-31,29,overdue,False,5,0,0
INV_EVT_00103,overdue_invoice,2026-08-29,INV_000103,B2B_0049,23004.49,INR,2026-06-26,2026-07-26,34,overdue,False,14,3,0
INV_EVT_00104,overdue_invoice,2026-08-29,INV_000104,B2B_0060,66479.56,INR,2026-04-26,2026-05-26,95,overdue,False,5,0,3
INV_EVT_00105,overdue_invoice,2026-08-29,INV_000105,B2B_0168,18053.18,INR,2026-07-02,2026-08-01,28,overdue,False,3,0,0
INV_EVT_00106,overdue_invoice,2026-08-29,INV_000106,B2B_0124,159321.45,INR,2026-05-10,2026-06-09,81,overdue,False,6,0,0
INV_EVT_00107,overdue_invoice,2026-08-29,INV_000107,B2B_0094,69070.38,INR,2026-05-07,2026-05-22,99,overdue,False,3,0,0
INV_EVT_00108,overdue_invoice,2026-08-29,INV_000108,B2B_0188,66886.58,INR,2026-04-19,2026-05-19,102,overdue,False,4,0,3
INV_EVT_00109,overdue_invoice,2026-08-29,INV_000109,B2B_0265,71290.28,INR,2026-05-07,2026-05-22,99,overdue,False,11,2,1
INV_EVT_00110,overdue_invoice,2026-08-29,INV_000110,B2B_0154,35070.79,INR,2026-04-13,2026-05-13,108,overdue,False,3,0,0
INV_EVT_00111,overdue_invoice,2026-08-29,INV_000111,B2B_0225,32556.08,INR,2026-06-29,2026-07-29,31,overdue,False,5,0,2
INV_EVT_00112,overdue_invoice,2026-08-29,INV_000112,B2B_0193,16421.08,INR,2026-04-05,2026-05-05,116,overdue,False,4,0,2
INV_EVT_00113,overdue_invoice,2026-08-29,INV_000113,B2B_0048,76421.82,INR,2026-06-01,2026-07-01,59,overdue,False,3,0,1
INV_EVT_00114,overdue_invoice,2026-08-29,INV_000114,B2B_0242,103803.01,INR,2026-05-15,2026-06-14,76,overdue,False,9,2,0
INV_EVT_00115,overdue_invoice,2026-08-29,INV_000115,B2B_0298,62016.85,INR,2026-06-07,2026-07-07,53,overdue,False,12,1,1
INV_EVT_00116,overdue_invoice,2026-08-29,INV_000116,B2B_0210,59827.4,INR,2026-05-18,2026-06-17,73,overdue,False,11,1,2
INV_EVT_00117,overdue_invoice,2026-08-29,INV_000117,B2B_0046,35354.19,INR,2026-05-17,2026-06-16,74,overdue,False,10,0,2
INV_EVT_00118,overdue_invoice,2026-08-29,INV_000118,B2B_0117,91655.47,INR,2026-07-16,2026-08-15,14,overdue,False,6,2,2
INV_EVT_00119,overdue_invoice,2026-08-29,INV_000119,B2B_0068,10552.48,INR,2026-07-01,2026-07-31,29,overdue,False,3,0,1
INV_EVT_00120,overdue_invoice,2026-08-29,INV_000120,B2B_0213,30998.25,INR,2026-05-29,2026-06-28,62,overdue,False,3,0,1
INV_EVT_00121,overdue_invoice,2026-08-29,INV_000121,B2B_0180,44289.88,INR,2026-04-13,2026-05-28,93,overdue,False,5,1,2
INV_EVT_00122,overdue_invoice,2026-08-29,INV_000122,B2B_0083,49933.8,INR,2026-06-18,2026-08-02,27,overdue,False,10,0,3
INV_EVT_00123,overdue_invoice,2026-08-29,INV_000123,B2B_0130,89283.52,INR,2026-07-02,2026-07-17,43,overdue,False,13,4,3
INV_EVT_00124,overdue_invoice,2026-08-29,INV_000124,B2B_0119,64300.24,INR,2026-07-11,2026-08-10,19,overdue,False,12,0,1
INV_EVT_00125,overdue_invoice,2026-08-29,INV_000125,B2B_0282,84932.99,INR,2026-04-06,2026-04-21,130,overdue,False,7,0,3
INV_EVT_00126,overdue_invoice,2026-08-29,INV_000126,B2B_0268,203182.94,INR,2026-05-13,2026-06-12,78,overdue,False,3,1,3
INV_EVT_00127,overdue_invoice,2026-08-29,INV_000127,B2B_0233,224790.78,INR,2026-05-04,2026-06-18,72,overdue,False,6,0,3
INV_EVT_00128,overdue_invoice,2026-08-29,INV_000128,B2B_0069,125910.89,INR,2026-07-13,2026-08-12,17,overdue,False,7,0,0
INV_EVT_00129,overdue_invoice,2026-08-29,INV_000129,B2B_0229,203643.19,INR,2026-05-29,2026-06-28,62,overdue,False,4,2,1
INV_EVT_00130,overdue_invoice,2026-08-29,INV_000130,B2B_0037,299226.72,INR,2026-05-12,2026-06-11,79,overdue,False,6,1,2
INV_EVT_00131,overdue_invoice,2026-08-29,INV_000131,B2B_0244,100869.18,INR,2026-04-06,2026-05-21,100,overdue,False,9,2,2
INV_EVT_00132,overdue_invoice,2026-08-29,INV_000132,B2B_0239,24504.24,INR,2026-04-07,2026-05-07,114,overdue,False,12,3,1
INV_EVT_00133,overdue_invoice,2026-08-29,INV_000133,B2B_0287,167622.03,INR,2026-04-12,2026-05-12,109,overdue,False,4,2,0
INV_EVT_00134,overdue_invoice,2026-08-29,INV_000134,B2B_0224,33837.0,INR,2026-06-04,2026-07-04,56,overdue,False,13,2,3
INV_EVT_00135,overdue_invoice,2026-08-29,INV_000135,B2B_0242,332610.31,INR,2026-06-02,2026-07-02,58,overdue,False,9,2,1
INV_EVT_00136,overdue_invoice,2026-08-29,INV_000136,B2B_0121,298128.48,INR,2026-05-10,2026-05-25,96,overdue,False,14,0,0
INV_EVT_00137,overdue_invoice,2026-08-29,INV_000137,B2B_0224,49546.28,INR,2026-04-04,2026-05-04,117,overdue,False,13,2,0
INV_EVT_00138,overdue_invoice,2026-08-29,INV_000138,B2B_0014,31114.13,INR,2026-07-17,2026-08-16,13,overdue,False,5,0,2
INV_EVT_00139,overdue_invoice,2026-08-29,INV_000139,B2B_0071,43231.22,INR,2026-06-05,2026-06-20,70,overdue,False,9,1,1
INV_EVT_00140,overdue_invoice,2026-08-29,INV_000140,B2B_0148,71195.04,INR,2026-06-10,2026-07-10,50,overdue,False,7,2,2
INV_EVT_00141,overdue_invoice,2026-08-29,INV_000141,B2B_0167,209034.6,INR,2026-04-12,2026-05-12,109,overdue,False,7,2,0
INV_EVT_00142,overdue_invoice,2026-08-29,INV_000142,B2B_0109,27914.48,INR,2026-07-06,2026-07-21,39,overdue,False,4,4,1
INV_EVT_00143,overdue_invoice,2026-08-29,INV_000143,B2B_0183,151867.6,INR,2026-06-24,2026-07-24,36,overdue,False,8,3,1
INV_EVT_00144,overdue_invoice,2026-08-29,INV_000144,B2B_0010,14321.51,INR,2026-06-21,2026-07-21,39,overdue,False,9,0,1
INV_EVT_00145,overdue_invoice,2026-08-29,INV_000145,B2B_0105,198035.56,INR,2026-07-05,2026-08-04,25,overdue,False,3,0,1
INV_EVT_00146,overdue_invoice,2026-08-29,INV_000146,B2B_0069,71372.85,INR,2026-07-15,2026-08-14,15,overdue,False,7,0,2
INV_EVT_00147,overdue_invoice,2026-08-29,INV_000147,B2B_0147,87995.27,INR,2026-05-29,2026-07-13,47,overdue,False,9,1,2
INV_EVT_00148,overdue_invoice,2026-08-29,INV_000148,B2B_0238,68895.25,INR,2026-05-27,2026-06-26,64,overdue,False,8,0,1
INV_EVT_00149,overdue_invoice,2026-08-29,INV_000149,B2B_0186,158551.81,INR,2026-07-16,2026-07-31,29,overdue,False,13,1,1
INV_EVT_00150,overdue_invoice,2026-08-29,INV_000150,B2B_0090,100941.21,INR,2026-04-27,2026-05-12,109,overdue,False,8,1,3
INV_EVT_00151,overdue_invoice,2026-08-29,INV_000151,B2B_0288,289407.59,INR,2026-06-16,2026-07-16,44,overdue,False,9,1,2
INV_EVT_00152,overdue_invoice,2026-08-29,INV_000152,B2B_0213,18110.41,INR,2026-05-02,2026-06-01,89,overdue,False,3,0,0
INV_EVT_00153,overdue_invoice,2026-08-29,INV_000153,B2B_0156,36358.6,INR,2026-04-14,2026-04-29,122,overdue,False,6,0,2
INV_EVT_00154,overdue_invoice,2026-08-29,INV_000154,B2B_0241,25550.78,INR,2026-04-05,2026-04-20,131,overdue,False,12,4,1
INV_EVT_00155,overdue_invoice,2026-08-29,INV_000155,B2B_0223,133181.6,INR,2026-05-05,2026-06-04,86,overdue,False,14,1,2
INV_EVT_00156,overdue_invoice,2026-08-29,INV_000156,B2B_0232,19441.8,INR,2026-04-14,2026-05-29,92,overdue,False,5,0,0
INV_EVT_00157,overdue_invoice,2026-08-29,INV_000157,B2B_0177,524427.46,INR,2026-05-29,2026-06-28,62,overdue,False,8,2,3
INV_EVT_00158,overdue_invoice,2026-08-29,INV_000158,B2B_0175,80716.57,INR,2026-05-04,2026-06-18,72,overdue,False,6,1,1
INV_EVT_00159,overdue_invoice,2026-08-29,INV_000159,B2B_0232,199339.58,INR,2026-04-24,2026-05-24,97,overdue,False,5,0,1
INV_EVT_00160,overdue_invoice,2026-08-29,INV_000160,B2B_0001,34619.73,INR,2026-04-29,2026-06-13,77,overdue,False,13,2,1
INV_EVT_00161,overdue_invoice,2026-08-29,INV_000161,B2B_0229,87754.94,INR,2026-05-22,2026-07-06,54,overdue,False,4,2,2
INV_EVT_00162,overdue_invoice,2026-08-29,INV_000162,B2B_0272,123579.77,INR,2026-05-17,2026-06-16,74,overdue,False,3,0,2
INV_EVT_00163,overdue_invoice,2026-08-29,INV_000163,B2B_0296,42623.97,INR,2026-04-30,2026-05-30,91,overdue,False,8,3,1
INV_EVT_00164,overdue_invoice,2026-08-29,INV_000164,B2B_0143,62507.05,INR,2026-07-16,2026-07-31,29,overdue,False,5,0,2
INV_EVT_00165,overdue_invoice,2026-08-29,INV_000165,B2B_0151,260705.39,INR,2026-04-04,2026-05-04,117,overdue,False,14,4,2
INV_EVT_00166,overdue_invoice,2026-08-29,INV_000166,B2B_0271,206562.65,INR,2026-04-28,2026-06-12,78,overdue,False,6,0,1
INV_EVT_00167,overdue_invoice,2026-08-29,INV_000167,B2B_0121,119182.83,INR,2026-04-10,2026-05-10,111,overdue,False,14,0,2
INV_EVT_00168,overdue_invoice,2026-08-29,INV_000168,B2B_0086,363063.91,INR,2026-05-14,2026-06-13,77,overdue,False,5,0,2
INV_EVT_00169,overdue_invoice,2026-08-29,INV_000169,B2B_0010,15813.24,INR,2026-05-13,2026-05-28,93,overdue,False,9,0,2
INV_EVT_00170,overdue_invoice,2026-08-29,INV_000170,B2B_0228,94677.36,INR,2026-04-11,2026-05-11,110,overdue,False,8,3,1
INV_EVT_00171,overdue_invoice,2026-08-29,INV_000171,B2B_0111,55278.96,INR,2026-06-02,2026-06-17,73,overdue,False,9,0,3
INV_EVT_00172,overdue_invoice,2026-08-29,INV_000172,B2B_0105,234270.52,INR,2026-06-28,2026-07-13,47,overdue,False,3,0,2
INV_EVT_00173,overdue_invoice,2026-08-29,INV_000173,B2B_0035,182251.31,INR,2026-05-31,2026-07-15,45,overdue,False,13,2,0
INV_EVT_00174,overdue_invoice,2026-08-29,INV_000174,B2B_0026,191146.62,INR,2026-04-11,2026-05-11,110,overdue,False,9,1,2
INV_EVT_00175,overdue_invoice,2026-08-29,INV_000175,B2B_0094,46524.8,INR,2026-06-22,2026-07-22,38,overdue,False,3,0,2
INV_EVT_00176,overdue_invoice,2026-08-29,INV_000176,B2B_0150,117535.54,INR,2026-06-30,2026-07-30,30,overdue,False,7,3,2
INV_EVT_00177,overdue_invoice,2026-08-29,INV_000177,B2B_0210,177982.17,INR,2026-05-19,2026-07-03,57,overdue,False,11,1,0
INV_EVT_00178,overdue_invoice,2026-08-29,INV_000178,B2B_0265,211736.6,INR,2026-07-11,2026-08-10,19,overdue,False,11,2,0
INV_EVT_00179,overdue_invoice,2026-08-29,INV_000179,B2B_0080,35743.44,INR,2026-05-14,2026-05-29,92,overdue,False,8,0,2
INV_EVT_00180,overdue_invoice,2026-08-29,INV_000180,B2B_0177,43419.01,INR,2026-05-12,2026-05-27,94,overdue,False,8,2,1
INV_EVT_00181,overdue_invoice,2026-08-29,INV_000181,B2B_0218,91254.61,INR,2026-06-10,2026-06-25,65,overdue,False,9,1,2
INV_EVT_00182,overdue_invoice,2026-08-29,INV_000182,B2B_0020,228921.42,INR,2026-06-13,2026-07-13,47,overdue,False,8,2,3
INV_EVT_00183,overdue_invoice,2026-08-29,INV_000183,B2B_0293,123188.54,INR,2026-06-27,2026-08-11,18,overdue,False,11,2,1
INV_EVT_00184,overdue_invoice,2026-08-29,INV_000184,B2B_0078,225457.42,INR,2026-05-23,2026-06-22,68,overdue,False,4,1,0
INV_EVT_00185,overdue_invoice,2026-08-29,INV_000185,B2B_0164,15729.15,INR,2026-07-16,2026-08-15,14,overdue,False,10,1,1
INV_EVT_00186,overdue_invoice,2026-08-29,INV_000186,B2B_0179,60351.12,INR,2026-06-08,2026-06-23,67,overdue,False,13,3,3
